0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:38:07 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:40:03 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:40:03 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:41:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:41:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:42:32 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:42:33 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:43:07 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:43:07 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:43:09 +0530] "GET /JSHOW/laptops/hp/hp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:46:10 +0530] "GET /JSHOW/laptops/dell/dell2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:46:11 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:46:13 +0530] "GET /JSHOW/laptops/hp/hp3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:46:14 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:46:20 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:32 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:32 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
